assembly_accession	taxid	organism_name	infraspecific_name	file_path
GCF_000317125.1	251229	Chroococcidiopsis thermalis PCC 7203	strain=PCC 7203	models/c/chroococcidiopsis/Chroococcidiopsis_thermalis_PCC_7203.xml.gz
GCF_000317025.1	118163	Pleurocapsa sp. PCC 7327	strain=PCC 7327	models/p/pleurocapsa/Pleurocapsa_sp_PCC_7327.xml.gz
GCF_000314005.1	1173029	Spirulina subsalsa PCC 9445	strain=PCC 9445	models/s/spirulina/Spirulina_subsalsa_PCC_9445.xml.gz
GCF_001443675.1	54398	endosymbiont of Ridgeia piscesae		models/e/endosymbiont/endosymbiont_of_Ridgeia_piscesae.xml.gz
GCF_001443625.1	54571	Streptomyces venezuelae	strain=ATCC 15439	models/s/streptomyces/Streptomyces_venezuelae_ATCC_15439.xml.gz
GCF_001420695.1	54911	Brevibacillus choshinensis	strain=DSM 8552	models/b/brevibacillus/Brevibacillus_choshinensis_DSM_8552.xml.gz
GCF_000190555.1	693977	Deinococcus proteolyticus MRP	strain=MRP	models/d/deinococcus/Deinococcus_proteolyticus_MRP.xml.gz
GCF_000253275.1	1034807	Flavobacterium branchiophilum FL-15	strain=FL-15	models/f/flavobacterium/Flavobacterium_branchiophilum_FL_15.xml.gz
GCF_000143985.1	573413	Sediminispirochaeta smaragdinae DSM 11293	strain=DSM 11293	models/s/sediminispirochaeta/Sediminispirochaeta_smaragdinae_DSM_11293.xml.gz
GCF_001571305.1	1219360	Erwinia persicina NBRC 102418	strain=NBRC 102418	models/e/erwinia/Erwinia_persicina_NBRC_102418.xml.gz
GCF_000161775.1	644107	Silicibacter lacuscaerulensis ITI-1157	strain=ITI-1157	models/s/silicibacter/Silicibacter_lacuscaerulensis_ITI_1157.xml.gz
GCF_000426825.1	1313301	Thermonema rossianum DSM 10300	strain=DSM 10300	models/t/thermonema/Thermonema_rossianum_DSM_10300.xml.gz
GCF_000723165.1	1349767	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	strain=DSM 9628	models/j/janthinobacterium/Janthinobacterium_agaricidamnosum_NBRC_102515_DSM_9628.xml.gz
GCF_000513295.1	1430440	Magnetospirillum gryphiswaldense MSR-1 v2	strain=MSR-1	models/m/magnetospirillum/Magnetospirillum_gryphiswaldense_MSR_1_v2.xml.gz
GCF_000239695.1	435830	Actinomyces graevenitzii C83	strain=C83	models/a/actinomyces/Actinomyces_graevenitzii_C83.xml.gz
GCF_000512895.1	871738	Dehalobacter restrictus DSM 9455	strain=PER-K23; DSM 9455	models/d/dehalobacter/Dehalobacter_restrictus_DSM_9455_PER_K23_DSM_9455.xml.gz
GCF_000217675.1	882102	Vibrio anguillarum 775	strain=775	models/v/vibrio/Vibrio_anguillarum_775.xml.gz
GCF_000702785.1	1408468	Mycoplasma primatum ATCC 25948	strain=ATCC 25948	models/m/mycoplasma/Mycoplasma_primatum_ATCC_25948.xml.gz
GCF_000834055.1	55969	Leucobacter komagatae	strain=VKM ST2845	models/l/leucobacter/Leucobacter_komagatae_VKM_ST2845.xml.gz
GCF_001053185.1	1236609	Mycobacterium bohemicum DSM 44277	strain=DSM 44277	models/m/mycobacterium/Mycobacterium_bohemicum_DSM_44277.xml.gz
GCF_000253015.1	696125	Bartonella clarridgeiae 73	strain=73	models/b/bartonella/Bartonella_clarridgeiae_73.xml.gz
GCF_001884705.1	56427	Couchioplanes caeruleus subsp. caeruleus	strain=DSM 43634	models/c/couchioplanes/Couchioplanes_caeruleus_subsp_caeruleus_DSM_43634.xml.gz
GCF_000815185.1	56458	Xanthomonas sacchari	strain=R1	models/x/xanthomonas/Xanthomonas_sacchari_R1.xml.gz
GCF_001291445.1	56689	Mycobacterium mucogenicum	strain=CSUR P2099	models/m/mycobacterium/Mycobacterium_mucogenicum_CSUR_P2099.xml.gz
GCF_000813345.1	1349789	Sulfurospirillum arsenophilum NBRC 109478	strain=NBRC 109478	models/s/sulfurospirillum/Sulfurospirillum_arsenophilum_NBRC_109478.xml.gz
GCF_000816845.1	1418105	Rhizobium gallicum bv. gallicum R602	strain=R602	models/r/rhizobium/Rhizobium_gallicum_bv_gallicum_R602.xml.gz
GCF_900156285.1	56779	Halanaerobium kushneri	strain=ATCC 700103	models/h/halanaerobium/Halanaerobium_kushneri_ATCC_700103.xml.gz
GCF_000252165.1	1121923	Glaciecola punicea ACAM 611	strain=ACAM 611	models/g/glaciecola/Glaciecola_punicea_ACAM_611.xml.gz
GCF_000428905.1	1121922	Glaciecola pallidula DSM 14239 = ACAM 615	strain=DSM 14239	models/g/glaciecola/Glaciecola_pallidula_DSM_14239_ACAM_615.xml.gz
GCF_000014705.1	318167	Shewanella frigidimarina NCIMB 400	strain=NCIMB 400	models/s/shewanella/Shewanella_frigidimarina_NCIMB_400.xml.gz
GCF_000237285.1	1002804	Helicobacter bizzozeronii CIII-1	strain=CIII-1	models/h/helicobacter/Helicobacter_bizzozeronii_CIII_1.xml.gz
GCF_000314675.2	883078	Afipia broomeae ATCC 49717	strain=ATCC 49717	models/a/afipia/Afipia_broomeae_ATCC_49717.xml.gz
GCF_001880325.1	56956	Thermus brockianus	strain=GE-1	models/t/thermus/Thermus_brockianus_GE_1.xml.gz
GCF_000309885.1	751945	Thermus oshimai JL-2	strain=JL-2	models/t/thermus/Thermus_oshimai_JL_2.xml.gz
GCF_002150505.1	57028	Algoriphagus ratkowskyi	strain=DSM 22686	models/a/algoriphagus/Algoriphagus_ratkowskyi_DSM_22686.xml.gz
GCF_000153485.2	313595	Psychroflexus torquis ATCC 700755	strain=ATCC 700755	models/p/psychroflexus/Psychroflexus_torquis_ATCC_700755.xml.gz
GCF_900142125.1	1122189	Malonomonas rubra DSM 5091	strain=DSM 5091	models/m/malonomonas/Malonomonas_rubra_DSM_5091.xml.gz
GCF_900163815.1	57043	Microbacterium esteraromaticum	strain=B Mb 05.01	models/m/microbacterium/Microbacterium_esteraromaticum_B_Mb_05_01.xml.gz
GCF_000179035.2	768700	Mycoplasma suis str. Illinois	strain=Illinois	models/m/mycoplasma/Mycoplasma_suis_str_Illinois.xml.gz
GCF_000620105.1	1122240	Microvirgula aerodenitrificans DSM 15089	strain=DSM 15089	models/m/microvirgula/Microvirgula_aerodenitrificans_DSM_15089.xml.gz
GCF_000816145.1	1123384	Pseudothermotoga hypogea DSM 11164 = NBRC 106472	strain=DSM 11164 = NBRC 106472	models/p/pseudothermotoga/Pseudothermotoga_hypogea_DSM_11164_NBRC_106472.xml.gz
GCF_900101955.1	57664	Desulfuromonas thiophila	strain=DSM 8987	models/d/desulfuromonas/Desulfuromonas_thiophila_DSM_8987.xml.gz
GCF_000597725.1	1123326	Sulfurospirillum arcachonense DSM 9755	strain=DSM 9755	models/s/sulfurospirillum/Sulfurospirillum_arcachonense_DSM_9755.xml.gz
GCF_900104775.1	57704	Tsukamurella tyrosinosolvens	strain=DSM 44234	models/t/tsukamurella/Tsukamurella_tyrosinosolvens_DSM_44234.xml.gz
GCF_000407365.1	1158606	Enterococcus asini ATCC 700915	strain=ATCC 700915	models/e/enterococcus/Enterococcus_asini_ATCC_700915.xml.gz
GCF_900101745.1	58114	Glycomyces harbinensis	strain=CGMCC 4.3516	models/g/glycomyces/Glycomyces_harbinensis_CGMCC_4_3516.xml.gz
GCF_000427885.1	1111731	Glycomyces tenuis DSM 44171	strain=DSM 44171	models/g/glycomyces/Glycomyces_tenuis_DSM_44171.xml.gz
GCF_900156315.1	58117	Microbispora rosea	strain=ATCC 12950	models/m/microbispora/Microbispora_rosea_ATCC_12950.xml.gz
GCF_000718255.1	58123	Spirillospora albida	strain=NRRL B-3350	models/s/spirillospora/Spirillospora_albida_NRRL_B_3350.xml.gz
GCF_900105215.1	58134	[Desulfotomaculum] guttoideum	strain=DSM 4024	models/d/desulfotomaculum/Desulfotomaculum_guttoideum_DSM_4024.xml.gz
GCF_000024205.1	485916	Desulfotomaculum acetoxidans DSM 771	strain=DSM 771	models/d/desulfotomaculum/Desulfotomaculum_acetoxidans_DSM_771.xml.gz
GCF_000012665.1	207559	Desulfovibrio alaskensis G20	strain=G20	models/d/desulfovibrio/Desulfovibrio_alaskensis_G20.xml.gz
GCF_000413035.1	1125700	Treponema medium ATCC 700293	strain=ATCC 700293	models/t/treponema/Treponema_medium_ATCC_700293.xml.gz
GCF_001514045.1	58343	Streptomyces canus	strain=DSM 40275	models/s/streptomyces/Streptomyces_canus_DSM_40275.xml.gz
GCF_000744785.1	1449346	Kitasatospora azatica KCTC 9699	strain=KCTC 9699	models/k/kitasatospora/Kitasatospora_azatica_KCTC_9699.xml.gz
GCF_000744225.1	1449347	Kitasatospora mediocidica KCTC 9733	strain=KCTC 9733	models/k/kitasatospora/Kitasatospora_mediocidica_KCTC_9733.xml.gz
GCF_000168295.1	59196	Rickettsiella grylli		models/r/rickettsiella/Rickettsiella_grylli.xml.gz
GCF_000724605.1	59505	Actinotignum schaalii	strain=CCUG 27420	models/a/actinotignum/Actinotignum_schaalii_CCUG_27420.xml.gz
GCF_001469025.1	59561	Trueperella bernardiae	strain=LCDC 89-0504	models/t/trueperella/Trueperella_bernardiae_LCDC_89_0504.xml.gz
GCF_000186265.1	688270	Cellulophaga algicola DSM 14237	strain=DSM 14237	models/c/cellulophaga/Cellulophaga_algicola_DSM_14237.xml.gz
GCF_000016165.1	349161	Desulfotomaculum reducens MI-1	strain=MI-1	models/d/desulfotomaculum/Desulfotomaculum_reducens_MI_1.xml.gz
GCF_000687535.1	1449345	Helicobacter rodentium ATCC 700285	strain=ATCC 700285	models/h/helicobacter/Helicobacter_rodentium_ATCC_700285.xml.gz
GCF_900143185.1	59733	Chryseobacterium scophthalmum	strain=DSM 16779	models/c/chryseobacterium/Chryseobacterium_scophthalmum_DSM_16779.xml.gz
GCF_002101965.1	59750	Mycobacterium wolinskyi	strain=ATCC 700010	models/m/mycobacterium/Mycobacterium_wolinskyi_ATCC_700010.xml.gz
GCF_000009365.1	393595	Alcanivorax borkumensis SK2	strain=SK2	models/a/alcanivorax/Alcanivorax_borkumensis_SK2.xml.gz
GCF_000241465.1	1112212	Sphingomonas echinoides ATCC 14820	strain=ATCC 14820	models/s/sphingomonas/Sphingomonas_echinoides_ATCC_14820.xml.gz
GCF_000465555.2	1358411	Pantoea dispersa EGD-AAK13	strain=EGD-AAK13	models/p/pantoea/Pantoea_dispersa_EGD_AAK13.xml.gz
GCF_000422905.1	1122915	Paenibacillus alginolyticus DSM 5050 = NBRC 15375	strain=DSM 5050	models/p/paenibacillus/Paenibacillus_alginolyticus_DSM_5050_NBRC_15375.xml.gz
GCF_000179615.1	717606	Paenibacillus curdlanolyticus YK9	strain=YK9	models/p/paenibacillus/Paenibacillus_curdlanolyticus_YK9.xml.gz
GCF_001632305.1	59843	Paenibacillus glucanolyticus	strain=5162	models/p/paenibacillus/Paenibacillus_glucanolyticus_5162.xml.gz
GCF_000316515.1	292564	Cyanobium gracile PCC 6307	strain=PCC 6307	models/c/cyanobium/Cyanobium_gracile_PCC_6307.xml.gz
GCF_000220255.1	997353	Prevotella pallens ATCC 700821	strain=ATCC 700821	models/p/prevotella/Prevotella_pallens_ATCC_700821.xml.gz
GCF_900106935.1	60137	Sulfitobacter pontiacus	strain=DSM 10014	models/s/sulfitobacter/Sulfitobacter_pontiacus_DSM_10014.xml.gz
GCF_000091325.1	637905	Shewanella violacea DSS12	strain=DSS12	models/s/shewanella/Shewanella_violacea_DSS12.xml.gz
GCF_002155695.1	60454	Porphyrobacter tepidarius	strain=DSM 10594	models/p/porphyrobacter/Porphyrobacter_tepidarius_DSM_10594.xml.gz
GCF_000015245.1	326297	Shewanella amazonensis SB2B	strain=SB2B	models/s/shewanella/Shewanella_amazonensis_SB2B.xml.gz
GCF_001436415.1	1423752	Lactobacillus graminis DSM 20719	strain=DSM 20719	models/l/lactobacillus/Lactobacillus_graminis_DSM_20719.xml.gz
GCF_000698595.1	60547	Caballeronia glathei	strain=DSM 50014	models/c/caballeronia/Caballeronia_glathei_DSM_50014.xml.gz
GCF_001552155.1	1220557	Actinomadura formosensis NBRC 14204	strain=NBRC 14204	models/a/actinomadura/Actinomadura_formosensis_NBRC_14204.xml.gz
GCF_000511385.1	1423144	Phaeobacter gallaeciensis DSM 26640	strain=DSM 26640	models/p/phaeobacter/Phaeobacter_gallaeciensis_DSM_26640.xml.gz
GCF_001678945.1	60890	Phaeobacter gallaeciensis	strain=JL2886	models/p/phaeobacter/Phaeobacter_gallaeciensis_JL2886.xml.gz
GCF_000195295.1	880072	Desulfobacca acetoxidans DSM 11109	strain=DSM 11109	models/d/desulfobacca/Desulfobacca_acetoxidans_DSM_11109.xml.gz
GCF_000194155.1	994479	Saccharopolyspora spinosa NRRL 18395	strain=NRRL 18395	models/s/saccharopolyspora/Saccharopolyspora_spinosa_NRRL_18395.xml.gz
GCF_000024925.1	446469	Sanguibacter keddieii DSM 10542	strain=DSM 10542	models/s/sanguibacter/Sanguibacter_keddieii_DSM_10542.xml.gz
GCF_001552735.1	1223525	Sanguibacter suarezii NBRC 16159	strain=NBRC 16159	models/s/sanguibacter/Sanguibacter_suarezii_NBRC_16159.xml.gz
GCF_001902315.1	61015	Staphylococcus succinus	strain=14BME20	models/s/staphylococcus/Staphylococcus_succinus_14BME20.xml.gz
GCF_000011905.1	243164	Dehalococcoides mccartyi 195	strain=195	models/d/dehalococcoides/Dehalococcoides_mccartyi_195.xml.gz
GCF_000830885.1	1432061	Dehalococcoides mccartyi CG5	strain=CG5	models/d/dehalococcoides/Dehalococcoides_mccartyi_CG5.xml.gz
GCF_000318135.1	1035195	Corynebacterium durum F0235	strain=F0235	models/c/corynebacterium/Corynebacterium_durum_F0235.xml.gz
GCF_900107145.1	61595	Allochromatium warmingii	strain=DSM 173	models/a/allochromatium/Allochromatium_warmingii_DSM_173.xml.gz
GCF_000379525.1	765909	Lamprocystis purpurea DSM 4197	strain=DSM 4197	models/l/lamprocystis/Lamprocystis_purpurea_DSM_4197.xml.gz
GCF_000250655.1	1116391	Paenibacillus mucilaginosus 3016	strain=3016	models/p/paenibacillus/Paenibacillus_mucilaginosus_3016.xml.gz
GCF_000967915.1	61635	Acholeplasma brassicae	strain=O502	models/a/acholeplasma/Acholeplasma_brassicae_O502.xml.gz
GCF_000757785.1	61647	Pluralibacter gergoviae	strain=FB2	models/p/pluralibacter/Pluralibacter_gergoviae_FB2.xml.gz
GCF_001572725.1	61652	Serratia rubidaea	strain=1122	models/s/serratia/Serratia_rubidaea_1122.xml.gz
GCF_000739475.1	1398491	Borreliella valaisiana Tom4006	strain=Tom4006	models/b/borreliella/Borreliella_valaisiana_Tom4006.xml.gz
GCF_000202835.1	926570	Acidiphilium multivorum AIU301	strain=AIU301	models/a/acidiphilium/Acidiphilium_multivorum_AIU301.xml.gz
GCF_000178875.2	693973	Shewanella baltica OS678	strain=OS678	models/s/shewanella/Shewanella_baltica_OS678.xml.gz
GCF_000973105.1	63186	Zobellia galactanivorans	strain=DsiJT	models/z/zobellia/Zobellia_galactanivorans_DsiJT.xml.gz
GCF_000008625.1	224324	Aquifex aeolicus VF5	strain=VF5	models/a/aquifex/Aquifex_aeolicus_VF5.xml.gz
GCF_000375485.1	1121459	Desulfovibrio oxyclinae DSM 11498	strain=DSM 11498	models/d/desulfovibrio/Desulfovibrio_oxyclinae_DSM_11498.xml.gz
GCF_000483485.1	1123515	Thiomicrorhabdus chilensis DSM 12352	strain=DSM 12352	models/t/thiomicrorhabdus/Thiomicrorhabdus_chilensis_DSM_12352.xml.gz
GCF_000526715.1	1168067	Hydrogenovibrio halophilus DSM 12350	strain=DSM 12350	models/h/hydrogenovibrio/Hydrogenovibrio_halophilus_DSM_12350.xml.gz
GCF_000025705.1	580332	Sideroxydans lithotrophicus ES-1	strain=ES-1	models/s/sideroxydans/Sideroxydans_lithotrophicus_ES_1.xml.gz
GCF_000376825.1	1121385	Demetria terragena DSM 11295	strain=DSM 11295	models/d/demetria/Demetria_terragena_DSM_11295.xml.gz
GCF_000420645.1	1122603	Nevskia ramosa DSM 11499	strain=DSM 11499	models/n/nevskia/Nevskia_ramosa_DSM_11499.xml.gz
GCF_000161455.1	527000	Bacillus pseudomycoides DSM 12442	strain=DSM 12442	models/b/bacillus/Bacillus_pseudomycoides_DSM_12442.xml.gz
GCF_000191045.1	868864	Desulfurobacterium thermolithotrophum DSM 11699	strain=DSM 11699	models/d/desulfurobacterium/Desulfurobacterium_thermolithotrophum_DSM_11699.xml.gz
GCF_000155555.1	118168	Coleofasciculus chthonoplastes PCC 7420	strain=PCC 7420	models/c/coleofasciculus/Coleofasciculus_chthonoplastes_PCC_7420.xml.gz
GCF_000526695.1	1336245	Carnimonas nigrificans ATCC BAA-78	strain=ATCC BAA-78	models/c/carnimonas/Carnimonas_nigrificans_ATCC_BAA_78.xml.gz
GCF_000423785.1	1123359	Tetragenococcus muriaticus DSM 15685	strain=DSM 15685	models/t/tetragenococcus/Tetragenococcus_muriaticus_DSM_15685.xml.gz
GCF_900111365.1	64702	Propionibacterium cyclohexanicum	strain=DSM 16859	models/p/propionibacterium/Propionibacterium_cyclohexanicum_DSM_16859.xml.gz
GCF_000222305.1	521010	Borreliella bissettii DN127	strain=DN127	models/b/borreliella/Borreliella_bissettii_DN127.xml.gz
GCF_900167095.1	64969	Oceanospirillum multiglobuliferum	strain=ATCC 33336	models/o/oceanospirillum/Oceanospirillum_multiglobuliferum_ATCC_33336.xml.gz
GCF_000620085.1	1122200	Marinobacterium jannaschii DSM 6295	strain=DSM 6295	models/m/marinobacterium/Marinobacterium_jannaschii_DSM_6295.xml.gz
GCF_900108915.1	64971	Pseudospirillum japonicum	strain=DSM 7165	models/p/pseudospirillum/Pseudospirillum_japonicum_DSM_7165.xml.gz
GCF_000422845.1	1122615	Oceanobacter kriegii DSM 6294	strain=DSM 6294	models/o/oceanobacter/Oceanobacter_kriegii_DSM_6294.xml.gz
GCF_000688235.1	1123355	Terasakiella pusilla DSM 6293	strain=DSM 6293	models/t/terasakiella/Terasakiella_pusilla_DSM_6293.xml.gz
GCF_000422325.1	1122212	Marinospirillum minutulum DSM 6287	strain=DSM 6287	models/m/marinospirillum/Marinospirillum_minutulum_DSM_6287.xml.gz
GCF_000422425.1	1122616	Oceanospirillum beijerinckii DSM 7166	strain=DSM 7166	models/o/oceanospirillum/Oceanospirillum_beijerinckii_DSM_7166.xml.gz
GCF_000422865.1	1122617	Oceanospirillum maris DSM 6286	strain=DSM 6286	models/o/oceanospirillum/Oceanospirillum_maris_DSM_6286.xml.gz
GCF_000756655.1	1177181	Alcanivorax jadensis T9	strain=T9	models/a/alcanivorax/Alcanivorax_jadensis_T9.xml.gz
GCF_001598255.1	1349774	Mitsuaria chitosanitabida NBRC 102408	strain=NBRC 102408	models/m/mitsuaria/Mitsuaria_chitosanitabida_NBRC_102408.xml.gz
GCF_000277795.1	1197325	Mycoplasma wenyonii str. Massachusetts	strain=Massachusetts	models/m/mycoplasma/Mycoplasma_wenyonii_str_Massachusetts.xml.gz
GCF_900103005.1	1120920	Acidaminobacter hydrogenoformans DSM 2784	strain=DSM 2784	models/a/acidaminobacter/Acidaminobacter_hydrogenoformans_DSM_2784.xml.gz
GCF_000718005.1	65497	Actinoalloteichus cyanogriseus	strain=NRRL B-2194	models/a/actinoalloteichus/Actinoalloteichus_cyanogriseus_NRRL_B_2194.xml.gz
GCF_900111005.1	65499	Lentzea albida	strain=DSM 44437	models/l/lentzea/Lentzea_albida_DSM_44437.xml.gz
GCF_000620065.1	1122221	Meiothermus cerbereus DSM 11376	strain=DSM 11376	models/m/meiothermus/Meiothermus_cerbereus_DSM_11376.xml.gz
GCF_000024885.1	525898	Sulfurospirillum deleyianum DSM 6946	strain=DSM 6946	models/s/sulfurospirillum/Sulfurospirillum_deleyianum_DSM_6946.xml.gz
GCF_000341395.1	1167006	Desulfocapsa sulfexigens DSM 10523	strain=DSM 10523	models/d/desulfocapsa/Desulfocapsa_sulfexigens_DSM_10523.xml.gz
GCF_001571225.1	1349791	Hydrogenophaga palleronii NBRC 102513	strain=NBRC 102513	models/h/hydrogenophaga/Hydrogenophaga_palleronii_NBRC_102513.xml.gz
GCF_001592305.1	1349793	Hydrogenophaga taeniospiralis NBRC 102512	strain=NBRC 102512	models/h/hydrogenophaga/Hydrogenophaga_taeniospiralis_NBRC_102512.xml.gz
GCF_000404125.1	1044999	Erwinia tracheiphila PSU-1	strain=PSU-1	models/e/erwinia/Erwinia_tracheiphila_PSU_1.xml.gz
GCF_900108405.1	65735	Paracoccus alkenifer	strain=DSM 11593	models/p/paracoccus/Paracoccus_alkenifer_DSM_11593.xml.gz
GCF_000723405.1	65786	Hydrogenophaga intermedia	strain=S1	models/h/hydrogenophaga/Hydrogenophaga_intermedia_S1.xml.gz
GCF_000018685.1	357809	Lachnoclostridium phytofermentans ISDg	strain=ISDg	models/l/lachnoclostridium/Lachnoclostridium_phytofermentans_ISDg.xml.gz
GCF_000717745.1	66377	Streptomyces violens	strain=NRRL ISP-5597	models/s/streptomyces/Streptomyces_violens_NRRL_ISP_5597.xml.gz
GCF_000716805.1	66378	Streptomyces yerevanensis	strain=NRRL B-16943	models/s/streptomyces/Streptomyces_yerevanensis_NRRL_B_16943.xml.gz
GCF_000719265.1	66429	Streptomyces roseoverticillatus	strain=NRRL B-3500	models/s/streptomyces/Streptomyces_roseoverticillatus_NRRL_B_3500.xml.gz
GCF_000568815.1	1150621	Sulfurospirillum multivorans DSM 12446	strain=DSM 12446	models/s/sulfurospirillum/Sulfurospirillum_multivorans_DSM_12446.xml.gz
GCF_000519265.1	935942	Desulfonatronum lacustre DSM 10312	strain=DSM 10312	models/d/desulfonatronum/Desulfonatronum_lacustre_DSM_10312.xml.gz
GCF_000717025.1	66869	Streptomyces atroolivaceus	strain=NRRL ISP-5137	models/s/streptomyces/Streptomyces_atroolivaceus_NRRL_ISP_5137.xml.gz
GCF_000718015.1	66875	Streptomyces catenulae	strain=NRRL B-2342	models/s/streptomyces/Streptomyces_catenulae_NRRL_B_2342.xml.gz
GCF_001418575.1	66896	Streptomyces griseoplanus	strain=NRRL B-3064	models/s/streptomyces/Streptomyces_griseoplanus_NRRL_B_3064.xml.gz
GCF_001468085.1	66969	Legionella waltersii	strain=ATCC 51914	models/l/legionella/Legionella_waltersii_ATCC_51914.xml.gz
GCF_002189675.1	67267	Streptomyces alboflavus	strain=MDJK44	models/s/streptomyces/Streptomyces_alboflavus_MDJK44.xml.gz
GCF_000429085.1	1123319	Streptomyces flavidovirens DSM 40150	strain=DSM 40150	models/s/streptomyces/Streptomyces_flavidovirens_DSM_40150.xml.gz
GCF_900105695.1	67327	Streptomyces melanosporofaciens	strain=DSM 40318	models/s/streptomyces/Streptomyces_melanosporofaciens_DSM_40318.xml.gz
GCF_001419695.1	67344	Streptomyces prasinopilosus	strain=NRRL B-2711	models/s/streptomyces/Streptomyces_prasinopilosus_NRRL_B_2711.xml.gz
GCF_000718025.1	67352	Kitasatospora purpeofusca	strain=NRRL B-1817	models/k/kitasatospora/Kitasatospora_purpeofusca_NRRL_B_1817.xml.gz
GCF_001704635.1	67365	Streptomyces sparsogenes	strain=ATCC 25498	models/s/streptomyces/Streptomyces_sparsogenes_ATCC_25498.xml.gz
GCF_000718635.1	67373	Streptomyces varsoviensis	strain=NRRL ISP-5346	models/s/streptomyces/Streptomyces_varsoviensis_NRRL_ISP_5346.xml.gz
GCF_000425345.1	1123053	Rheinheimera baltica DSM 14885	strain=DSM 14885	models/r/rheinheimera/Rheinheimera_baltica_DSM_14885.xml.gz
GCF_000017245.1	339671	Actinobacillus succinogenes 130Z	strain=130Z	models/a/actinobacillus/Actinobacillus_succinogenes_130Z.xml.gz
GCF_001038205.1	67855	Muribacter muris	strain=Ackerman80-443D	models/m/muribacter/Muribacter_muris_Ackerman80_443D.xml.gz
GCF_000204605.1	996637	Streptomyces griseoaurantiacus M045	strain=M045	models/s/streptomyces/Streptomyces_griseoaurantiacus_M045.xml.gz
GCF_001542625.1	68214	Streptomyces griseochromogenes	strain=ATCC 14511	models/s/streptomyces/Streptomyces_griseochromogenes_ATCC_14511.xml.gz
GCF_002028425.1	68223	Streptomyces katrae	strain=S3	models/s/streptomyces/Streptomyces_katrae_S3.xml.gz
GCF_001552635.1	1220559	Actinomadura hibisca NBRC 15177	strain=NBRC 15177	models/a/actinomadura/Actinomadura_hibisca_NBRC_15177.xml.gz
GCF_000832305.1	68895	Cupriavidus basilensis	strain=4G11	models/c/cupriavidus/Cupriavidus_basilensis_4G11.xml.gz
GCF_000196275.1	319795	Deinococcus geothermalis DSM 11300	strain=DSM 11300	models/d/deinococcus/Deinococcus_geothermalis_DSM_11300.xml.gz
GCF_000482805.1	1121383	Deinococcus murrayi DSM 11303	strain=DSM 11303	models/d/deinococcus/Deinococcus_murrayi_DSM_11303.xml.gz
GCF_000590885.1	69222	Erwinia mallotivora	strain=BT-MARDI	models/e/erwinia/Erwinia_mallotivora_BT_MARDI.xml.gz
GCF_000400505.1	1224150	Dickeya paradisiaca NCPPB 2511	strain=NCPPB 2511	models/d/dickeya/Dickeya_paradisiaca_NCPPB_2511.xml.gz
GCF_000585625.1	69279	Aquamicrobium defluvii	strain=W13Z1	models/a/aquamicrobium/Aquamicrobium_defluvii_W13Z1.xml.gz
GCF_000956465.1	69370	Microbacterium trichothecenolyticum	strain=DSM 8608	models/m/microbacterium/Microbacterium_trichothecenolyticum_DSM_8608.xml.gz
GCF_002025645.1	69373	Curtobacterium pusillum	strain=AA3	models/c/curtobacterium/Curtobacterium_pusillum_AA3.xml.gz
GCF_000745545.1	69395	Caulobacter henricii	strain=CF287	models/c/caulobacter/Caulobacter_henricii_CF287.xml.gz
GCF_001414055.1	69395	Caulobacter henricii	strain=CB4	models/c/caulobacter/Caulobacter_henricii_CB4.xml.gz
GCF_000018605.1	403833	Petrotoga mobilis SJ95	strain=SJ95	models/p/petrotoga/Petrotoga_mobilis_SJ95.xml.gz
GCF_000412995.1	1125702	Treponema vincentii F0403	strain=F0403	models/t/treponema/Treponema_vincentii_F0403.xml.gz
GCF_000208405.1	546271	Selenomonas sputigena ATCC 35185	strain=ATCC 35185	models/s/selenomonas/Selenomonas_sputigena_ATCC_35185.xml.gz
GCF_900102365.1	69824	[Clostridium] cocleatum	strain=DSM 1551	models/c/clostridium/Clostridium_cocleatum_DSM_1551.xml.gz
GCF_900101965.1	69960	Rhodospira trueperi	strain=ATCC 700224	models/r/rhodospira/Rhodospira_trueperi_ATCC_700224.xml.gz
GCF_000824785.1	69974	Mesorhizobium plurifarium		models/m/mesorhizobium/Mesorhizobium_plurifarium.xml.gz
GCF_001618885.1	70255	Staphylococcus condimenti	strain=DSM 11674	models/s/staphylococcus/Staphylococcus_condimenti_DSM_11674.xml.gz
GCF_001447195.1	70584	Aquabacterium parvum	strain=B6	models/a/aquabacterium/Aquabacterium_parvum_B6.xml.gz
GCF_000340565.2	313624	Nodularia spumigena CCY9414	strain=CCY9414	models/n/nodularia/Nodularia_spumigena_CCY9414.xml.gz
GCF_000146165.2	211586	Shewanella oneidensis MR-1	strain=MR-1	models/s/shewanella/Shewanella_oneidensis_MR_1.xml.gz
GCF_000018285.1	398579	Shewanella pealeana ATCC 700345	strain=ATCC 700345	models/s/shewanella/Shewanella_pealeana_ATCC_700345.xml.gz
GCF_000379765.1	1121904	Flexithrix dorotheae DSM 6795	strain=DSM 6795	models/f/flexithrix/Flexithrix_dorotheae_DSM_6795.xml.gz
GCF_000379805.1	1122176	Lewinella cohaerens DSM 23179	strain=DSM 23179	models/l/lewinella/Lewinella_cohaerens_DSM_23179.xml.gz
GCF_001306135.1	70996	Herpetosiphon geysericola	strain=DSM 7119	models/h/herpetosiphon/Herpetosiphon_geysericola_DSM_7119.xml.gz
